,player,mcts_simuls,mcts_rate,player_first,result_from_player,score_diff_from_player,moves
46,random,10,1.4,True,-1,-3,"[2, 12, 8, 20, 30, 16, 15, 26, 6, 13, 0, 21, 27, 3, 9, 29, 35, 1, 33, 31, 11, 7, 5, 22, 19, 25, 17, 14, 18, 23, 10, 24, 4, 28, 32, 34]"
47,random,10,1.4,False,-1,-1,"[34, 10, 5, 6, 33, 16, 12, 32, 8, 25, 3, 4, 2, 29, 1, 35, 26, 24, 0, 14, 20, 22, 19, 27, 15, 7, 30, 18, 17, 13, 23, 28, 9, 11, 21, 31]"
48,random,10,1.4,True,0,0,"[31, 13, 5, 14, 25, 33, 10, 27, 26, 3, 6, 0, 21, 1, 15, 32, 29, 35, 20, 18, 11, 17, 28, 8, 19, 16, 22, 34, 12, 2, 23, 7, 30, 4, 9, 24]"
49,random,10,1.4,False,-1,-1,"[20, 19, 11, 21, 25, 18, 14, 17, 5, 1, 4, 35, 27, 29, 22, 32, 13, 33, 31, 12, 15, 34, 28, 24, 23, 0, 8, 26, 9, 7, 6, 2, 10, 16, 30, 3]"
50,random,10,1.4,True,-1,-4,"[31, 25, 3, 26, 1, 16, 10, 5, 30, 15, 2, 8, 14, 34, 35, 21, 32, 18, 19, 27, 12, 4, 29, 0, 23, 7, 28, 11, 22, 24, 17, 9, 20, 6, 13, 33]"
51,random,10,1.4,False,-1,-2,"[35, 7, 17, 23, 6, 29, 25, 9, 3, 24, 27, 31, 13, 26, 21, 16, 32, 8, 4, 10, 2, 14, 28, 33, 15, 0, 20, 1, 19, 22, 5, 12, 18, 30, 11, 34]"
52,random,10,1.4,True,-1,-1,"[18, 17, 20, 9, 24, 10, 19, 7, 33, 14, 16, 27, 30, 5, 23, 8, 6, 22, 0, 25, 11, 2, 29, 34, 1, 28, 31, 35, 12, 26, 13, 32, 3, 4, 21, 15]"
53,random,10,1.4,False,-1,-1,"[7, 17, 13, 14, 10, 2, 8, 24, 0, 21, 18, 15, 25, 9, 30, 31, 29, 11, 35, 4, 5, 27, 16, 32, 19, 6, 22, 3, 33, 26, 28, 34, 1, 23, 20, 12]"
54,random,10,1.4,True,1,4,"[27, 34, 17, 5, 21, 30, 10, 29, 0, 26, 16, 7, 33, 25, 12, 15, 13, 19, 35, 31, 20, 28, 8, 2, 6, 1, 22, 11, 9, 23, 3, 4, 18, 32, 24, 14]"
55,random,10,1.4,False,-1,-1,"[16, 24, 3, 32, 25, 35, 28, 1, 8, 21, 13, 18, 23, 31, 19, 33, 9, 11, 7, 0, 30, 12, 2, 22, 29, 6, 26, 14, 4, 27, 34, 15, 5, 20, 10, 17]"
56,random,10,1.4,True,-1,-2,"[1, 13, 17, 15, 19, 8, 10, 2, 7, 11, 34, 4, 24, 33, 5, 20, 32, 0, 29, 31, 21, 28, 27, 16, 35, 14, 25, 23, 6, 26, 9, 22, 12, 30, 18, 3]"
57,random,10,1.4,False,-1,-2,"[34, 4, 13, 29, 33, 22, 19, 14, 24, 9, 20, 10, 18, 21, 27, 16, 35, 15, 32, 2, 28, 6, 7, 0, 3, 25, 23, 1, 26, 31, 8, 12, 11, 5, 17, 30]"
58,random,10,1.4,True,1,1,"[24, 17, 29, 3, 27, 34, 25, 21, 33, 22, 1, 23, 26, 4, 18, 6, 15, 32, 8, 14, 13, 30, 10, 12, 0, 9, 20, 5, 35, 28, 19, 11, 7, 2, 16, 31]"
59,random,10,1.4,False,-1,-3,"[32, 5, 31, 23, 34, 12, 29, 0, 15, 3, 21, 9, 16, 35, 13, 6, 1, 30, 11, 28, 2, 4, 24, 18, 14, 7, 26, 22, 33, 19, 10, 17, 27, 25, 8, 20]"
60,random,15,1.4,True,-1,-2,"[26, 23, 9, 2, 11, 10, 16, 20, 35, 21, 13, 18, 27, 4, 1, 3, 12, 31, 8, 14, 15, 19, 25, 17, 34, 28, 0, 30, 5, 22, 32, 24, 33, 7, 6, 29]"
61,random,15,1.4,False,-1,-1,"[13, 23, 34, 5, 29, 2, 22, 20, 12, 7, 27, 11, 24, 9, 16, 15, 6, 21, 17, 19, 4, 32, 25, 10, 1, 31, 8, 33, 28, 3, 18, 30, 0, 35, 26, 14]"
62,random,15,1.4,True,-1,-1,"[2, 25, 12, 1, 4, 14, 34, 8, 31, 18, 16, 23, 5, 30, 11, 27, 26, 17, 15, 22, 33, 10, 21, 32, 6, 29, 19, 35, 7, 13, 20, 3, 0, 24, 9, 28]"
63,random,15,1.4,False,-1,-3,"[12, 34, 19, 23, 11, 0, 26, 32, 5, 31, 21, 3, 15, 6, 33, 22, 25, 18, 20, 29, 28, 9, 30, 13, 7, 24, 14, 16, 17, 35, 10, 1, 4, 2, 8, 27]"
64,random,15,1.4,True,-1,-1,"[1, 26, 12, 17, 9, 27, 0, 30, 14, 28, 25, 23, 8, 13, 3, 21, 24, 22, 4, 11, 20, 32, 34, 35, 16, 31, 2, 7, 10, 29, 15, 5, 6, 18, 33, 19]"
65,random,15,1.4,False,-1,-5,"[16, 3, 1, 31, 20, 13, 34, 24, 35, 25, 11, 33, 27, 10, 21, 14, 6, 32, 17, 28, 19, 9, 15, 4, 22, 0, 30, 26, 8, 29, 5, 12, 18, 2, 23, 7]"
66,random,15,1.4,True,-1,-4,"[4, 9, 24, 6, 8, 21, 3, 20, 0, 19, 17, 26, 1, 11, 13, 34, 27, 22, 2, 14, 29, 25, 23, 16, 31, 28, 32, 15, 35, 33, 5, 18, 7, 30, 12, 10]"
67,random,15,1.4,False,-1,-1,"[22, 16, 0, 2, 8, 25, 18, 21, 14, 5, 34, 4, 9, 19, 26, 23, 6, 10, 7, 33, 35, 1, 3, 13, 24, 30, 20, 27, 12, 11, 15, 17, 28, 31, 29, 32]"
68,random,15,1.4,True,-1,-4,"[10, 12, 9, 31, 13, 2, 6, 8, 32, 0, 11, 14, 30, 19, 35, 26, 17, 15, 23, 20, 1, 16, 24, 5, 33, 25, 27, 4, 3, 21, 18, 7, 28, 29, 34, 22]"
69,random,15,1.4,False,-1,-4,"[19, 22, 16, 10, 21, 35, 18, 7, 29, 13, 11, 8, 32, 5, 27, 24, 9, 28, 6, 25, 4, 34, 15, 26, 14, 2, 17, 30, 31, 20, 1, 0, 12, 3, 33, 23]"
70,random,15,1.4,True,-1,-4,"[24, 12, 11, 4, 10, 22, 0, 14, 1, 3, 18, 28, 27, 17, 2, 31, 6, 33, 7, 20, 13, 21, 29, 26, 32, 23, 9, 35, 15, 19, 34, 5, 30, 25, 8, 16]"
71,random,15,1.4,False,-1,-4,"[13, 27, 20, 30, 24, 19, 15, 26, 22, 10, 1, 33, 6, 9, 8, 5, 3, 23, 29, 35, 16, 7, 2, 25, 14, 21, 31, 4, 0, 12, 18, 32, 28, 34, 11, 17]"
72,random,15,1.4,True,-1,-2,"[6, 28, 29, 17, 31, 27, 8, 12, 19, 25, 15, 22, 9, 14, 20, 11, 10, 5, 33, 24, 30, 7, 23, 26, 1, 2, 16, 13, 21, 32, 34, 4, 18, 3, 0, 35]"
73,random,15,1.4,False,-1,-1,"[33, 30, 34, 15, 28, 8, 1, 2, 16, 24, 9, 14, 22, 19, 5, 35, 20, 6, 21, 3, 25, 7, 26, 31, 18, 17, 10, 0, 32, 29, 4, 23, 13, 27, 12, 11]"
74,random,15,1.4,True,-1,-1,"[27, 31, 6, 10, 33, 17, 22, 19, 16, 2, 7, 14, 8, 15, 20, 23, 29, 28, 26, 3, 11, 24, 25, 13, 9, 12, 34, 18, 1, 21, 5, 35, 30, 0, 4, 32]"
75,random,15,1.4,False,-1,-2,"[27, 22, 33, 32, 13, 21, 16, 18, 20, 31, 28, 1, 11, 7, 3, 12, 4, 9, 8, 24, 5, 14, 10, 23, 0, 35, 25, 2, 26, 17, 30, 34, 6, 19, 29, 15]"
76,random,15,1.4,True,-1,-2,"[26, 16, 18, 8, 28, 21, 29, 20, 6, 25, 13, 1, 5, 11, 7, 27, 4, 31, 23, 0, 14, 9, 2, 35, 22, 12, 34, 33, 30, 15, 19, 3, 10, 17, 24, 32]"
77,random,15,1.4,False,-1,-3,"[22, 28, 14, 8, 2, 6, 35, 5, 17, 10, 31, 9, 13, 15, 12, 0, 23, 32, 19, 11, 20, 33, 21, 25, 18, 24, 29, 16, 34, 27, 26, 4, 1, 30, 7, 3]"
78,random,15,1.4,True,-1,-3,"[26, 0, 17, 23, 11, 29, 12, 33, 25, 14, 21, 8, 15, 24, 30, 13, 5, 9, 27, 31, 19, 7, 4, 20, 18, 16, 22, 10, 34, 6, 28, 3, 32, 2, 35, 1]"
